period,reporter_iso_limpio,partner_iso_limpio,M,X,peso_comercio_total,balanza_comercial,ln_peso_comercio_total
2004,ARE,MMR,47106.0,3115652.0,3162758.0,3068546.0,14.966955305897718
2004,ARE,MNG,0.0,919542.0,919542.0,919542.0,13.731632086479035
2004,ARE,MOZ,56795.0,5255449.0,5312244.0,5198654.0,15.485525091062772
2004,ARE,MRT,0.0,8611284.0,8611284.0,8611284.0,15.968584110331856
2004,ARE,MUS,1652.0,1121712.0,1123364.0,1120060.0,13.931839203174086
2004,ARE,MWI,0.0,1741004.0,1741004.0,1741004.0,14.369973090658895
2004,ARE,MYS,96541925.0,7906346.0,104448271.0,-88635579.0,18.46420250202914
2004,ARE,MYT,0.0,2982.0,2982.0,2982.0,8.000684784514748
2004,ARE,NAM,0.0,2910539.0,2910539.0,2910539.0,14.883849188942557
2004,ARE,NER,0.0,711255.0,711255.0,711255.0,13.47478770023947
2004,ARE,NGA,475685.0,23122906.0,23598591.0,22647221.0,16.9766976071991
2004,ARE,NIC,897609.0,104740.0,1002349.0,-792869.0,13.817857801032622
2004,ARE,NLD,102320386.0,19428000.0,121748386.0,-82892386.0,18.617467071379252
2004,ARE,NOR,8884829.0,385549.0,9270378.0,-8499280.0,16.042334821280182
2004,ARE,NPL,12604.0,702721.0,715325.0,690117.0,13.480493661821182
2004,ARE,NZL,3340510.0,1804101.0,5144611.0,-1536409.0,15.45346051138423
2004,ARE,OMN,412701.0,50287071.0,50699772.0,49874370.0,17.741431991233835
2004,ARE,PAK,10321818.0,88307357.0,98629175.0,77985539.0,18.40687767843923
2004,ARE,PAN,0.0,40605.0,40605.0,40605.0,10.611671117922187
2004,ARE,PER,78681.0,18525.0,97206.0,-60156.0,11.484598004316375
2004,ARE,PHL,19154290.0,6558226.0,25712516.0,-12596064.0,17.062488474100157
2004,ARE,PNG,0.0,189719.0,189719.0,189719.0,12.153304579991518
2004,ARE,POL,16697719.0,969564.0,17667283.0,-15728155.0,16.687225125634008
2004,ARE,PRK,27703.0,0.0,27703.0,-27703.0,10.229332086082257
2004,ARE,PRT,1419974.0,842183.0,2262157.0,-577791.0,14.631829782909366
2004,ARE,PRY,69677.0,0.0,69677.0,-69677.0,11.151639908473813
2004,ARE,PSE,636.0,0.0,636.0,-636.0,6.456769655572163
