"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.8870967741935485","7.581585195256079E-5","0.5299145299145299","0.8928571428571429","8","3","false","""Luxembourg""","46.75","0","8","0","0.9852150537634408","false","0","""Luxembourg""","10","0.7663934426229508"
"1.8064516129032258","0.0017829526142962428","0.5535714285714286","0.5128205128205128","13","3","false","""Switzerland""","36.23076923076923","0","13","0","0.9865591397849462","false","0","""Switzerland""","80","0.5939470365699874"
"1.9516129032258065","0.0","0.512396694214876","1.0","4","3","false","""Lithuania""","53.25","0","4","0","0.9841397849462366","false","0","""Lithuania""","0","0.8729508196721312"
"1.9193548387096775","3.8694199739459055E-5","0.5210084033613445","0.9333333333333333","6","3","false","""Hong Kong""","49.166666666666664","0","6","0","0.9846774193548387","false","0","""Hong Kong""","6","0.8060109289617486"
"1.8709677419354838","1.0653018726763644E-4","0.5344827586206897","0.8611111111111112","9","3","false","""Austria""","45.666666666666664","0","9","0","0.985483870967742","false","0","""Austria""","14","0.7486338797814208"
"1.935483870967742","0.0","0.5166666666666666","1.0","5","3","false","""Saudi Arabia""","51.8","0","5","0","0.9844086021505376","false","0","""Saudi Arabia""","0","0.8491803278688524"
"1.8225806451612903","0.0013716584470569353","0.5486725663716814","0.5757575757575758","12","3","false","""Japan""","37.583333333333336","0","12","0","0.9862903225806452","false","0","""Japan""","60","0.6161202185792349"
"1.9838709677419355","0.0","0.5040650406504065","1.0","2","3","false","""Jamaica""","57.5","0","2","0","0.9836021505376344","false","0","""Jamaica""","0","0.9426229508196722"
"1.8709677419354838","1.0653018726763644E-4","0.5344827586206897","0.8611111111111112","9","3","false","""Hungary""","45.666666666666664","0","9","0","0.985483870967742","false","0","""Hungary""","14","0.7486338797814208"
"1.8225806451612903","9.702055165147715E-4","0.5486725663716814","0.5757575757575758","12","3","false","""Spain""","38.583333333333336","0","12","0","0.9862903225806452","false","0","""Spain""","60","0.6325136612021858"
"1.8870967741935485","6.940853505453472E-5","0.5299145299145299","0.8928571428571429","8","3","false","""United States""","47.125","0","8","0","0.9852150537634408","false","0","""United States""","10","0.7725409836065574"
"1.8548387096774193","5.999030859045907E-4","0.5391304347826087","0.6222222222222222","10","3","false","""United Kingdom""","41.0","0","10","0","0.9857526881720431","false","0","""United Kingdom""","38","0.6721311475409836"
"1.7903225806451613","0.0032110494509616206","0.5585585585585585","0.2948717948717949","13","2","false","""Colombia""","18.384615384615383","0","13","0","0.9868279569892473","false","0","""Colombia""","130","0.29652605459057074"
"1.8548387096774193","4.985119728286679E-4","0.5391304347826087","0.6222222222222222","10","3","false","""Germany""","41.6","0","10","0","0.9857526881720431","false","0","""Germany""","38","0.6819672131147541"
"1.8064516129032258","0.015625693722021414","0.5535714285714286","0.5454545454545454","12","2","false","""United Arab Emirates""","37.75","0","12","0","0.9865591397849462","false","0","""United Arab Emirates""","768","0.6174863387978142"
"1.8709677419354838","9.200719076446203E-4","0.5344827586206897","0.4642857142857143","8","2","false","""Peru""","20.5","0","8","0","0.985483870967742","false","0","""Peru""","40","0.33064516129032256"
"1.935483870967742","3.8694199739459055E-5","0.5166666666666666","0.9","5","3","false","""Estonia""","50.8","0","5","0","0.9844086021505376","false","0","""Estonia""","6","0.8327868852459016"
"1.6935483870967742","0.009827123394823944","0.5904761904761905","0.26900584795321636","19","2","false","""Ecuador""","16.894736842105264","0","19","0","0.9884408602150537","false","0","""Ecuador""","328","0.27249575551782684"
"1.4516129032258065","0.031128282409267707","0.6888888888888889","0.34402852049910876","34","2","false","""Brazil""","17.705882352941178","0","34","0","0.9924731182795699","false","0","""Brazil""","828","0.2855787476280835"
"1.8870967741935485","6.940853505453472E-5","0.5299145299145299","0.8928571428571429","8","3","false","""Kuwait""","47.125","0","8","0","0.9852150537634408","false","0","""Kuwait""","10","0.7725409836065574"
"1.8548387096774193","2.962061949785594E-4","0.5391304347826087","0.7555555555555555","10","3","false","""Singapore""","43.0","0","10","0","0.9857526881720431","false","0","""Singapore""","26","0.7049180327868853"
"1.8225806451612903","0.0013716584470569353","0.5486725663716814","0.5757575757575758","12","3","false","""South Korea""","37.583333333333336","0","12","0","0.9862903225806452","false","0","""South Korea""","60","0.6161202185792349"
"1.8709677419354838","6.693336144091992E-4","0.5344827586206897","0.6666666666666666","9","3","false","""Portugal""","39.333333333333336","0","9","0","0.985483870967742","false","0","""Portugal""","24","0.644808743169399"
"1.8709677419354838","3.9345595601970515E-4","0.5344827586206897","0.6111111111111112","9","3","false","""Qatar""","41.666666666666664","0","9","0","0.985483870967742","false","0","""Qatar""","28","0.6830601092896175"
"1.2741935483870968","0.06353814308107915","0.7848101265822784","0.2494949494949495","45","2","false","""Ukraine""","14.822222222222223","0","45","0","0.9954301075268818","false","0","""Ukraine""","1564","0.23906810035842294"
"1.935483870967742","0.004262141276696979","0.5166666666666666","0.3333333333333333","4","2","false","""Uruguay""","33.75","0","4","0","0.9844086021505376","false","0","""Uruguay""","208","0.5491803278688525"
"1.032258064516129","0.24625455795709553","0.96875","0.1864406779661017","60","2","false","""Mexico""","12.733333333333333","0","60","0","0.9994623655913979","false","0","""Mexico""","3320","0.21166666666666667"
"1.8870967741935485","6.940853505453472E-5","0.5299145299145299","0.8928571428571429","8","3","false","""Poland""","47.125","0","8","0","0.9852150537634408","false","0","""Poland""","10","0.7725409836065574"
"1.8548387096774193","3.052790996560306E-4","0.5391304347826087","0.7333333333333333","10","3","false","""Norway""","43.1","0","10","0","0.9857526881720431","false","0","""Norway""","28","0.7065573770491803"
"1.8225806451612903","0.01303649824493119","0.5486725663716814","0.4","11","2","false","""Chile""","32.0","0","11","0","0.9862903225806452","false","0","""Chile""","606","0.5230998509687034"
"1.8548387096774193","3.052790996560306E-4","0.5391304347826087","0.7333333333333333","10","3","false","""Netherlands""","43.1","0","10","0","0.9857526881720431","false","0","""Netherlands""","28","0.7065573770491803"
