year,iso3_o,iso3_d,M,X,peso_comercio_total,balanza_comercial,norm_ln_peso_comercio_total,CDT_vigente,norm_ln_dist,contig,comlang_off,comrelig,fta_wto,norm_ln_pib_per_capita_dolares_constantes_o,norm_ln_pib_per_capita_dolares_constantes_d,norm_entry_cost_o,norm_entry_cost_d
2005,GTM,FRA,37476522.0,7701789.0,45178311.0,-29774733.0,-0.08801658243341737,0.0,0.4370827770849987,0.0,0.0,0.719,0.0,-1.3965623359593466,0.7645933403418743,1.6645302863059044,-0.4632951425145634
2006,GTM,FRA,15342592.0,5407851.0,20750443.0,-9934741.0,-0.2963796104783912,0.0,0.4370827770849987,0.0,0.0,0.719,0.0,-1.3688697704309083,0.7818763650662625,1.4219471328688937,-0.46577983537308376
2007,GTM,FRA,22968900.0,6588037.0,29556937.0,-16380863.0,-0.20164450608839904,0.0,0.4370827770849987,0.0,0.0,0.719,0.0,-1.3327654662260155,0.7982803996926354,1.3372355554781914,-0.46577983537308376
2008,GTM,FRA,25243104.0,25782119.0,51025223.0,539015.0,-0.05542431842594446,0.0,0.4370827770849987,0.0,0.0,0.719,0.0,-1.3221469141269075,0.7967229157036488,1.4720039740543085,-0.4682645282316042
2009,GTM,FRA,79481576.0,2865446.0,82347022.0,-76616130.0,0.07275154942914014,0.0,0.4370827770849987,0.0,0.0,0.719,0.0,-1.3357064550676319,0.7672551791623238,1.2563745043325212,-0.4707492210901247
2010,GTM,FRA,31638832.0,7886103.0,39524935.0,-23752729.0,-0.12381776365054016,0.0,0.4370827770849987,0.0,0.0,0.719,0.0,-1.3280017803398356,0.7802300380285582,1.3064313455179362,-0.4707492210901247
2011,GTM,FRA,21631686.0,13871679.0,35503365.0,-7760007.0,-0.15255403197839185,0.0,0.4370827770849987,0.0,0.0,0.719,0.0,-1.3093553308890686,0.7970257312322966,1.4373492378490214,-0.4707492210901247
2012,GTM,FRA,28648805.0,6817925.0,35466730.0,-21830880.0,-0.15283051232080488,0.0,0.4370827770849987,0.0,0.0,0.719,0.0,-1.3009521187684001,0.7944087148765677,1.2679260830676171,-0.4707492210901247
2013,GTM,FRA,32960702.0,6418745.0,39379447.0,-26541957.0,-0.1248053383471643,0.0,0.4370827770849987,0.0,0.0,0.719,0.0,-1.2859809086534653,0.7966921427586178,1.2024671369020743,-0.4707492210901247
2014,GTM,FRA,27045898.0,5618509.0,32664407.0,-21427389.0,-0.17487302280537037,0.0,0.4370827770849987,0.0,0.0,0.719,0.0,-1.264051028431183,0.8012104739523723,0.4169597829155635,-0.4707492210901247
2015,GTM,FRA,35914070.0,4446325.0,40360395.0,-31467745.0,-0.11821608910096874,0.0,0.4370827770849987,0.0,0.0,0.719,1.0,-1.2445779323194415,0.8073641432790111,0.3823050467102763,-0.473233913948645
2016,GTM,FRA,25751932.0,5252044.0,31003976.0,-20499888.0,-0.18884439016569823,0.0,0.4370827770849987,0.0,0.0,0.719,1.0,-1.2374256255509641,0.8125317863596639,0.34379978425995716,-0.4757186068071655
2017,GTM,FRA,48865420.0,7143531.0,56008951.0,-41721889.0,-0.03046748794699115,0.0,0.4370827770849987,0.0,0.0,0.719,1.0,-1.2265667276596974,0.8279871556995987,0.29759346931957403,-0.4757186068071655
2018,GTM,FRA,30547532.0,8963632.0,39511164.0,-21583900.0,-0.12391108551285504,0.0,0.4370827770849987,0.0,0.0,0.719,1.0,-1.211510519439834,0.8390990967109281,0.11276820955804219,-0.4757186068071655
2019,GTM,FRA,33049715.0,7786857.0,40836572.0,-25262858.0,-0.11507502356957569,0.0,0.4370827770849987,0.0,0.0,0.719,1.0,-1.1898873091953726,0.8537049966111646,0.08196399959778683,-0.4757186068071655
2020,GTM,FRA,17106964.0,7113722.0,24220686.0,-9993242.0,-0.25496689055295646,0.0,0.4370827770849987,0.0,0.0,0.719,1.0,-1.219149136478295,0.7834357899581077,0.08196399959778683,-0.4757186068071655
2021,GTM,FRA,30926979.0,7257526.0,38184505.0,-23669453.0,-0.13305744191891142,0.0,0.4370827770849987,0.0,0.0,0.719,1.0,-1.1623435357375882,0.8383749956331562,0.08196399959778683,-0.4757186068071655
2022,GTM,FRA,57340020.0,13002599.0,70342619.0,-44337421.0,0.030555517978034945,0.0,0.4370827770849987,0.0,0.0,0.719,1.0,-1.1382667006157765,0.8573731494953094,0.08196399959778683,-0.4757186068071655
2023,GTM,FRA,87486806.0,10582392.0,98069198.0,-76904414.0,0.11954482774233213,0.0,0.4370827770849987,0.0,0.0,0.719,1.0,-1.1209915175836993,0.8674371230876594,0.08196399959778683,-0.4757186068071655
2024,GTM,FRA,94565326.0,10094953.0,104660279.0,-84470373.0,0.1369643503124789,0.0,0.4370827770849987,0.0,0.0,0.719,1.0,-1.1027046133463048,0.8754739253629211,0.08196399959778683,-0.4757186068071655
2004,GTM,GBR,23489831.0,1813329.0,25303160.0,-21676502.0,-0.24325800134180933,0.0,0.40911803809117986,0.0,0.0,0.131,0.0,-1.4060308498247183,0.9339429618602532,1.8339534410873086,-0.4707492210901247
2005,GTM,GBR,27363916.0,2051238.0,29415154.0,-25312678.0,-0.20293222739608402,0.0,0.40911803809117986,0.0,0.0,0.131,0.0,-1.3965623359593466,0.9519609523416881,1.6645302863059044,-0.4757186068071655
2006,GTM,GBR,13733670.0,3604038.0,17337708.0,-10129632.0,-0.34449925058336955,0.0,0.40911803809117986,0.0,0.0,0.131,0.0,-1.3688697704309083,0.9644433306060444,1.4219471328688937,-0.4757186068071655
2007,GTM,GBR,18890379.0,3318149.0,22208528.0,-15572230.0,-0.2781935246098681,0.0,0.40911803809117986,0.0,0.0,0.131,0.0,-1.3327654662260155,0.9828477134377819,1.3372355554781914,-0.473233913948645
2008,GTM,GBR,26670252.0,4180246.0,30850498.0,-22490006.0,-0.19017337282778107,0.0,0.40911803809117986,0.0,0.0,0.131,0.0,-1.3221469141269075,0.975552156525233,1.4720039740543085,-0.473233913948645
2009,GTM,GBR,21923893.0,4015155.0,25939048.0,-17908738.0,-0.2366111112192648,0.0,0.40911803809117986,0.0,0.0,0.131,0.0,-1.3357064550676319,0.9279968381960475,1.2563745043325212,-0.4757186068071655
2010,GTM,GBR,24628369.0,12121928.0,36750297.0,-12506441.0,-0.14330982972892664,0.0,0.40911803809117986,0.0,0.0,0.131,0.0,-1.3280017803398356,0.9406566551404373,1.3064313455179362,-0.4757186068071655
2011,GTM,GBR,18267698.0,4333361.0,22601059.0,-13934337.0,-0.273501529621557,0.0,0.40911803809117986,0.0,0.0,0.131,0.0,-1.3093553308890686,0.9412351569482138,1.4373492378490214,-0.4757186068071655
2012,GTM,GBR,16840282.0,4560413.0,21400695.0,-12279869.0,-0.2881163725428123,0.0,0.40911803809117986,0.0,0.0,0.131,0.0,-1.3009521187684001,0.9482512703936047,1.2679260830676171,-0.4757186068071655
2013,GTM,GBR,18116318.0,4885815.0,23002133.0,-13230503.0,-0.26879084666571595,0.0,0.40911803809117986,0.0,0.0,0.131,0.0,-1.2859809086534653,0.9572727093073157,1.2024671369020743,-0.4856573782412471
2014,GTM,GBR,23491013.0,7113029.0,30604042.0,-16377984.0,-0.1923213574230574,0.0,0.40911803809117986,0.0,0.0,0.131,0.0,-1.264051028431183,0.9778926211903506,0.4169597829155635,-0.4856573782412471
2015,GTM,GBR,22013747.0,6689596.0,28703343.0,-15324151.0,-0.20949240274612907,0.0,0.40911803809117986,0.0,0.0,0.131,1.0,-1.2445779323194415,0.9900702201855287,0.3823050467102763,-0.4906267639582879
2016,GTM,GBR,17242317.0,7480410.0,24722727.0,-9761907.0,-0.24947270176485806,0.0,0.40911803809117986,0.0,0.0,0.131,1.0,-1.2374256255509641,1.0021790244568451,0.34379978425995716,-0.4906267639582879
2017,GTM,GBR,20263917.0,10448022.0,30711939.0,-9815895.0,-0.19137886135369742,0.0,0.40911803809117986,0.0,0.0,0.131,1.0,-1.2265667276596974,1.0233971376933018,0.29759346931957403,-0.49311145681680835
2018,GTM,GBR,17725072.0,11230091.0,28955163.0,-6494981.0,-0.20715317230670974,0.0,0.40911803809117986,0.0,0.0,0.131,1.0,-1.211510519439834,1.032563672797254,0.11276820955804219,-0.49311145681680835
2019,GTM,GBR,49097067.0,11390907.0,60487974.0,-37706160.0,-0.009864681999276682,0.0,0.40911803809117986,0.0,0.0,0.131,1.0,-1.1898873091953726,1.0389645303201003,0.08196399959778683,-0.49311145681680835
2020,GTM,GBR,18075661.0,7926076.0,26001737.0,-10149585.0,-0.23596467384910513,0.0,0.40911803809117986,0.0,0.0,0.131,1.0,-1.219149136478295,0.9451270911623297,0.08196399959778683,-0.49311145681680835
2021,GTM,GBR,24126327.0,11433127.0,35559454.0,-12693200.0,-0.15213128669920323,0.0,0.40911803809117986,0.0,0.0,0.131,1.0,-1.1623435357375882,1.0134968371005242,0.08196399959778683,-0.49311145681680835
2022,GTM,GBR,64042144.0,15201754.0,79243898.0,-48840390.0,0.06246478055790414,0.0,0.40911803809117986,0.0,0.0,0.131,1.0,-1.1382667006157765,1.0492582913015942,0.08196399959778683,-0.49311145681680835
2023,GTM,GBR,48303607.0,10566779.0,58870386.0,-37736828.0,-0.017123820371595794,0.0,0.40911803809117986,0.0,0.0,0.131,1.0,-1.1209915175836993,1.040242398234995,0.08196399959778683,-0.49311145681680835
2024,GTM,GBR,50635912.0,10156611.0,60792523.0,-40479301.0,-0.008519718391052606,0.0,0.40911803809117986,0.0,0.0,0.131,1.0,-1.1027046133463048,1.0407148620059359,0.08196399959778683,-0.49311145681680835
2004,GTM,HKG,4202126.0,34753.0,4236879.0,-4167373.0,-0.72184714992715,0.0,0.999721314080147,0.0,0.0,0.078,0.0,-1.4060308498247183,0.6402920045352005,1.8339534410873086,-0.4086318996271142
2005,GTM,HKG,2230290.0,152479.0,2382769.0,-2077811.0,-0.8759841059586767,0.0,0.999721314080147,0.0,0.0,0.078,0.0,-1.3965623359593466,0.6986519165143856,1.6645302863059044,-0.4086318996271142
2006,GTM,HKG,4890048.0,438213.0,5328261.0,-4451835.0,-0.6604675224002821,0.0,0.999721314080147,0.0,0.0,0.078,0.0,-1.3688697704309083,0.7523281080375613,1.4219471328688937,-0.4111165924856346
2007,GTM,HKG,12802010.0,408021.0,13210031.0,-12393989.0,-0.4173165067804502,0.0,0.999721314080147,0.0,0.0,0.078,0.0,-1.3327654662260155,0.7994686432984391,1.3372355554781914,-0.4160859782026754
2008,GTM,HKG,13749438.0,1129680.0,14879118.0,-12619758.0,-0.38545284145026115,0.0,0.999721314080147,0.0,0.0,0.078,0.0,-1.3221469141269075,0.812615743172352,1.4720039740543085,-0.44341759964640004
2009,GTM,HKG,5111870.0,515604.0,5627474.0,-4596266.0,-0.6458359714232899,0.0,0.999721314080147,0.0,0.0,0.078,0.0,-1.3357064550676319,0.7890206201411468,1.2563745043325212,-0.44838698536344085
2010,GTM,HKG,44513516.0,922294.0,45435810.0,-43591222.0,-0.08649454881676741,0.0,0.999721314080147,0.0,0.0,0.078,0.0,-1.3280017803398356,0.8397308111511007,1.3064313455179362,-0.44341759964640004
2011,GTM,HKG,66437399.0,1138862.0,67576261.0,-65298537.0,0.019811015186649846,0.0,0.999721314080147,0.0,0.0,0.078,0.0,-1.3093553308890686,0.8748790596815984,1.4373492378490214,-0.44590229250492047
2012,GTM,HKG,74239899.0,873561.0,75113460.0,-73366338.0,0.048129180659872886,0.0,0.999721314080147,0.0,0.0,0.078,0.0,-1.3009521187684001,0.8799557293744518,1.2679260830676171,-0.44590229250492047
2013,GTM,HKG,88791972.0,1692673.0,90484645.0,-87099299.0,0.09798861740953468,0.0,0.999721314080147,0.0,0.0,0.078,0.0,-1.2859809086534653,0.9030900490967433,1.2024671369020743,-0.473233913948645
2014,GTM,HKG,152889113.0,1018776.0,153907889.0,-151870337.0,0.2402379810503364,0.0,0.999721314080147,0.0,0.0,0.078,0.0,-1.264051028431183,0.9207310287389758,0.4169597829155635,-0.4583257567975226
2015,GTM,HKG,145690647.0,1834704.0,147525351.0,-143855943.0,0.22889543387259612,0.0,0.999721314080147,0.0,0.0,0.078,0.0,-1.2445779323194415,0.9338883089933366,0.3823050467102763,-0.4632951425145634
2016,GTM,HKG,112907746.0,2314132.0,115221878.0,-110593614.0,0.16271080458442505,0.0,0.999721314080147,0.0,0.0,0.078,0.0,-1.2374256255509641,0.9472568168530628,0.34379978425995716,-0.4782032996656858
